market,month,rainfall,temp,maize,beans
Nairobi (Gikomba),2023-01,132.5,21.8,7200,6900
Nairobi (Gikomba),2023-02,118.3,22.5,7050,6750
Nairobi (Gikomba),2023-03,150.2,21.1,6900,6600
Nairobi (Gikomba),2023-04,180.4,20.8,6700,6400

Kisumu,2023-01,160.2,25.1,6800,6600
Kisumu,2023-02,145.9,25.3,7000,6700
Kisumu,2023-03,170.3,24.8,7200,6900
Kisumu,2023-04,155.6,25.0,7150,6850

Mombasa (Miritini),2023-01,90.0,28.2,7500,7200
Mombasa (Miritini),2023-02,110.5,28.0,7300,7100
Mombasa (Miritini),2023-03,105.4,28.3,7400,7150
Mombasa (Miritini),2023-04,115.7,28.1,7350,7100

Eldoret,2023-01,180.1,19.2,6600,6300
Eldoret,2023-02,170.4,19.6,6500,6200
Eldoret,2023-03,165.9,19.0,6400,6100
Eldoret,2023-04,175.3,18.8,6450,6150

Nakuru,2023-01,120.0,20.5,7000,6700
Nakuru,2023-02,115.2,21.0,6900,6600
Nakuru,2023-03,130.4,20.3,6800,6500
Nakuru,2023-04,140.1,20.2,6750,6450
